code,company_name,industry,score_short_term,score_long_term,sentiment,reason,summary_3lines,risk_factors
7974,任天堂株式会社,ゲーム,9,8,Positive,"短期（9/10）: 新ハード『Nintendo Switch 2』のローンチが販売・利益両面で大成功を収め、年末商戦に向けても強力なソフトウェアラインナップが控えており、極めて強い業績モメンタムが期待されるため。
長期（8/10）: 新プラットフォームの成功による数年間の成長基盤の確立、マリオやポケモン等の世界的な強力IPを多数保有し多角的に活用できること、約1.5兆円の潤沢な現金同等物と健全な財務基盤が長期的な競争優位性を支えているため。","新型ゲーム機『Nintendo Switch 2』の発売が極めて好調で、ハードウェア販売1,036万台、ソフトウェアも『マリオカート ワールド』等が牽引し、大幅な増収増益を達成した。
売上高は前年同期比110.1%増の1兆995億円、親会社株主に帰属する中間純利益は83.1%増の1,989億円となり、投資有価証券売却益も利益を押し上げた。
今後も『ポケモン』等の有力新作を継続投入する計画で、新プラットフォームの順調な立ち上がりと普及拡大が期待される。",新型ゲーム機『Nintendo Switch 2』の販売動向への高い依存、有力ソフトウェアのヒットに左右される業績変動、海外売上高比率が約80%と非常に高いため為替レートの変動が業績に与える影響。
6151,日東工器株式会社,機械,2,5,Negative,短期スコアは、連結子会社における会計上の不備発覚が市場の信頼を大きく損ない、株価への強い売り圧力が見込まれるため低評価。長期スコアは、自己資本比率約87%という強固な財務基盤と主力事業の成長性を評価する一方、失われた信頼の回復とガバナンス再構築には時間を要すると考えられるため中程度の評価とした。,"2023年3月期第1四半期は、半導体・産業機械向けの迅速流体継手事業が好調で、売上高66.8億円(前年同期比12.6%増)、営業利益8.6億円(同16.5%増)と増収増益を達成した。
しかし、本資料は連結子会社での棚卸資産の過大計上が判明したことに伴う訂正報告書であり、内部統制体制に重大な問題を抱えていることが明らかになった。
自己資本比率が約87%と極めて高く無借金経営を継続するなど財務基盤は強固だが、ガバナンス面の課題が浮き彫りとなっている。",連結子会社における棚卸資産の過大計上が発覚したことによる、グループ全体の内部統制・ガバナンス体制の不備。半導体市況の変動や原材料価格高騰など、外部環境の悪化による収益への影響。主力事業への依存度が高く、機械工具事業や建築機器事業の収益性が課題となっている点。
6151,日東工器株式会社,機械,2,4,Negative,最大の評価引き下げ要因は、連結子会社での不適切会計の発覚であり、これは企業の信頼性とガバナンス体制に深刻な疑問を投げかけるものです。この問題が解決し、市場の信頼を回復するまで短期的な株価は低迷が予想されるため、短期スコアは2としました。業績面でも増収営業減益と収益性の課題が見られます。一方で、自己資本比率87%という鉄壁の財務基盤は長期的な安定性の下支えとなりますが、ガバナンスの再構築が成功するかは不透明であり、企業文化の問題に発展する可能性も否定できないため、長期スコアも4と低めの評価に留めました。,"連結子会社における棚卸資産の過大計上が発覚し、過去の財務諸表を訂正。不適切な会計処理はガバナンス上の重大な懸念材料となる。
当期の業績は、売上高が前年同期比13.3%増の139億円と伸長したものの、原価率上昇により営業利益は同1.0%減の16.8億円と減益になった。
自己資本比率87.1%と極めて健全な財務基盤を維持しているが、会計不正による信頼失墜が今後の企業価値に大きく影響する可能性がある。",連結子会社における不適切な会計処理の発覚による、内部統制およびガバナンス体制の脆弱性。原材料価格高騰や円安によるコスト上昇が利益を圧迫しており、一部事業では営業損失となっている。半導体関連向けが好調な「迅速流体継手事業」への利益依存度が高く、同市場の市況変動リスク。
9697,株式会社カプコン,ゲームソフトウェア,8,8,Positive,短期・長期ともに高評価。12期連続営業増益という圧倒的な実績に加え、強力なIPポートフォリオとそれをグローバルに展開するデジタル販売戦略が確立されている。積極的な人材投資により開発力を強化しており、持続的な成長が期待できる。一方で、開発費高騰やヒットIPへの依存という構造的リスクも考慮し、スコアは8とした。,"12期連続の営業増益を達成し、売上高1,696億円(前期比11.3%増)、営業利益657億円(同15.2%増)と2桁成長を維持し、過去最高業績を更新した。
主力のデジタルコンテンツ事業が、大型新作『モンスターハンターワイルズ』のヒットや、過去作のグローバルでのデジタルリピート販売戦略が奏功し、全体の成長を牽引した。
アミューズメント機器事業におけるスマートパチスロの好調や、eスポーツを中心としたその他事業の大幅な伸長も増益に大きく貢献し、全事業でバランスの取れた成長を見せている。",開発費の高騰と長期化、特定人気シリーズへの高い収益依存、グローバル市場における為替変動やカントリーリスク、競争の激化に伴う優秀な開発人材の獲得・維持。
3635,株式会社コーエーテクモホールディングス,ゲームソフトウェア,8,8,Positive,令和7年3月期は、売上高が微減したものの、コストコントロールが奏功し営業利益は2桁増益を達成。さらに効率的な金融資産運用により経常利益・純利益は過去最高を更新した。営業利益率38.6%という極めて高い収益性と、自己資本比率89.9%という鉄壁の財務基盤は短期的な業績と安定性を高く評価できる。次期は開発投資先行による減益計画であるが、これは中長期の成長を見据えたものであり、ネガティブな要因とは捉えにくい。長期的には、「三國志」「信長の野望」「無双」シリーズといった強力なIPを多数保有し、グローバル展開を強化している点が高く評価できる。人材確保などのリスクはあるものの、高い開発力とブランド力、健全な財務体質により持続的な成長が期待できると判断した。,"令和7年3月期は、売上高が前期比1.7%減の831億円と微減であったものの、コスト削減と効率的な金融資産運用が奏功し、営業利益は12.7%増の321億円、経常利益および純利益は過去最高を更新した。
主力のエンタテインメント事業では、新作パッケージは貢献したものの、既存のオンライン・モバイルゲームやIPライセンス事業が安定的に収益を牽引し、営業利益率38.6%という高い収益性を維持した。
次期（令和8年3月期）は増収を見込むものの、中長期的な成長に向けた開発投資が先行することから営業減益を計画しており、将来の成長に向けた基盤づくりを進める方針である。",知識集約型事業であるため優秀な人材の確保・育成における競争激化、グローバル展開に伴うコンテンツ表現の倫理的リスク、開発の長期化・複雑化に伴うコスト増と品質管理リスク。
3635,株式会社コーエーテクモホールディングス,ゲーム,5,8,Neutral,短期的な業績は、大型新作の谷間であるため前年同期比で大幅な減収減益となりましたが、期初計画は上回っています。長期的には、『仁王3』や『ゼルダ無双』といった世界的にヒットが期待できる強力なIPの大型新作を複数控えており、大きな成長ポテンシャルを秘めています。自己資本比率78.9%と財務基盤も盤石であり、将来への投資も積極的に行っているため、長期的な見通しは明るいと評価します。,"当中間期は大型新作の不在によりリピート販売や既存タイトル運営が中心となり、売上高は前年同期比11.2%減、営業利益は同25.2%減と減収減益を記録しました。
主力のエンタテインメント事業は苦戦しましたが、金融市場での運用益が寄与し、経常利益の減少幅は抑制され、期初予想は上回って着地しています。
第3四半期以降に『仁王3』や『ゼルダ無双 封印戦記』といった期待の大型新作を多数控えており、今後の業績回復と成長が期待されます。",大型新作の発売が下期に集中しており、これらのタイトルの売上が計画未達となるリスク。開発遅延や発売時期の変更による業績への影響。既存IPの陳腐化やユーザー離れによる収益力低下のリスク。
9684,株式会社スクウェア・エニックス・ホールディングス,ゲーム,3,6,Neutral,短期的には、主力のHDゲーム事業が新作不振で減収となり、開発パイプライン見直しの過渡期にあるため業績の不透明感が強い。一方、長期的には、新中期経営計画で「量から質」への転換やマルチプラットフォーム戦略強化など、課題解決に向けた抜本的な改革方針を打ち出しており、これが成功すれば保有する強力なIPを活かした持続的成長が期待できるため。ただし、改革の実行にはリスクが伴う。,"当期は売上高が前期比8.9%減の3,245億円となる一方、開発費償却の減少等により営業利益は24.6%増の405億円、純利益は63.7%増の244億円と増益を確保した。
主力のHDゲーム事業が新作不振で減収となったが、MMO事業の増収やアミューズメント事業の回復が下支えした。
「量から質」への転換を掲げた新中期経営計画を発表し、開発体制の刷新やマルチプラットフォーム戦略の強化による収益性改善と再成長を目指す方針を示している。",家庭用ゲーム開発費の高騰と、ヒット作を継続的に創出できない場合の収益性悪化リスク。顧客嗜好やビジネスモデル（F2P、サブスクリプション等）の急速な変化に対応できないリスク。グローバルな競争激化に伴う、コンテンツ創造や事業展開を担う優秀な人材の確保・育成に関するリスク。
9684,株式会社スクウェア・エニックス・ホールディングス,ゲーム,5,6,Neutral,短期的には、売上高が減少しているものの、コストコントロールにより営業利益は大幅に増加し収益性は改善している。しかし、大規模な組織再編費用が純利益を圧迫しており、今後も追加費用が見込まれるため短期的な不透明感から中立評価とした。長期的には、組織再編が成功すれば開発効率と収益性の向上が期待でき、強力なIPポートフォリオを活かした持続的成長の可能性があるため、短期よりややポジティブに評価した。,"売上高は前年同期比15.0%減の1,338億円となったが、開発費償却や広告費の減少により営業利益は同28.8%増の272億円と大幅な増益を達成。
主力のデジタルエンタテインメント事業は新作売上の減少で減収となったものの、コストコントロールが奏功し営業黒字に転換。
組織再編費用98億円を特別損失として計上したため、最終的な中間純利益は同14.5%減の100億円となった。",主力であるデジタルエンタテインメント事業の業績が、新作タイトルのヒット有無に大きく依存している点。また、現在進行中の大規模な組織再編が計画通りに進まず、開発体制の混乱や想定以上の費用が発生するリスク。
9684,株式会社スクウェア・エニックス・ホールディングス,ゲーム・デジタルエンタテインメント,3,6,Neutral,短期（3/10）: 売上高が減少し、開発中のコンテンツ廃棄を含む大規模な組織再編費用（98億円）を特別損失として計上した結果、最終利益が大幅に減少したため。再編に伴うパイプラインへの影響も不透明。長期（6/10）: 一方で、費用削減により営業利益は大幅な増益を達成しており、収益性は改善している。組織再編が成功すれば、開発効率の向上とヒット率の改善が期待でき、多数の強力なIPを基盤とした持続的な成長ポテンシャルがあるため。,"売上高は前年同期比15.0%減の1,338億円となったが、開発費償却負担の減少等により営業利益は同28.8%増の272億円と大幅な増益を達成した。
主力のデジタルエンタテインメント事業は、HDゲームの新作売上減少とMMOの反動減が響き減収となったものの、費用削減効果で営業利益は黒字転換した。
一方で、開発体制の見直しに伴う大規模な組織再編費用98億円を特別損失として計上した結果、親会社株主に帰属する中間純利益は100億円（同14.5%減）と最終減益になった。",HDゲームにおける大型新作のヒットへの依存度が高いこと。MMO（ファイナルファンタジーXIV）の拡張パッケージによる業績サイクルの影響が大きいこと。現在進行中の大規模な組織再編が、開発体制や今後の収益性に与える不確実性。
4169,ENECHANGE株式会社,エネルギーテック/SaaS,1,4,Negative,短期では、会計処理の誤り訂正というガバナンス上の重大な問題が発覚し、市場の信頼を大きく損なっている点、及びEV事業への先行投資による巨額の赤字計上で業績・財務が悪化している点から極めて低い評価とした。長期的には、GX推進やEV普及というマクロトレンドは追い風であり事業の成長ポテンシャルは存在するが、露呈したガバナンス体制の脆弱性を抜本的に改善し、投資家の信頼を回復できなければ持続的な成長は困難であるため、ポテンシャルを認めつつも保守的な評価とした。,"EV充電インフラSPC（特別目的会社）の連結範囲に関する会計処理の誤りを訂正。売上は前年同期比14.6%増の32.3億円と伸長したものの、EV充電事業への積極的な先行投資により営業損失は15.4億円と前年同期の約3倍に拡大した。
会計訂正の背景には、当時の代表取締役によるSPC社債権者への融資など実質的な支配関係があったことを見抜けなかった点があり、コーポレート・ガバナンス体制に重大な課題が露呈した。
主力のエネルギープラットフォーム事業は堅調に推移しているが、財務基盤は自己資本比率が27.9%へ大幅に悪化。EV充電事業における投資回収の実現とガバナンスの再構築が急務となっている。","【会計・ガバナンスリスク】SPCスキームにおける会計処理の誤りと訂正報告書の提出。背景にある当時の経営陣の不透明な取引は、内部統制の欠如と信頼性の毀損を示す。
【EV事業の先行投資リスク】EV充電事業における巨額の先行投資により赤字が大幅に拡大。政府の補助金政策の変更や競争激化により投資回収が遅れる、または困難になる可能性。
【財務リスク】赤字拡大による自己資本比率の大幅な低下（51.7%→27.9%）。一部借入金では財務制限条項に抵触しており、資金繰りの悪化懸念がある。"
